row_id,original_text,language,url,author_hash,date,primary_theme,manipulative_score,decision,review_flag
131660,"باير ليفركوزن فالنسيا هيرتا برلين وولفرهامبتون واندررز النصر

ڪۆد خضم مباشر

▬عود▬ميلان▬ميلانو▬ ← S92",ar,x.com,db0937f97ebd8eb60150706b2bdb146021235964,2024-11-19T19:30:40.000Z,Sports,0.9980469,Manipulative,False
133714,"برايتون وهوف ألبيون لوهافر ريال مدريد أفيس مانشستر سيتي

ڪۆد خضم مباشر

▬ڪاردىال▬ ← M63",ar,x.com,7e0161494b5c5ecf33a0f73e56b7034e9a276729,2024-11-19T19:31:15.000Z,Sports,0.9980469,Manipulative,False
131745,"برايتون وهوف ألبيون مونبلييه كازا بيا

ڪۆد خضم مباشر

▬فلاي▬ان▬ ← ABC559",ar,x.com,e31406c8a878ade6c94f05c74648d931b38e2894,2024-11-19T19:30:42.000Z,Sports,0.9980469,Manipulative,False
127683,"توتنهام هوتسبر غو أهيد إيغلز ريال بيتيس إنتر ميلان بي إس في

ڪۆد خضم مباشر

▬ڪاردىال▬ ← M63",ar,x.com,d2aa6e874fe2a2b6e66f71511ee0d04e928cf284,2024-11-19T19:29:39.000Z,Sports,0.9980469,Manipulative,False
129016,"هيرنفين إسبانيول رايو فاييكانو كازا بيا لانس

ڪۆد خضم مباشر

▬تُيموُ▬ ← acs678251",ar,x.com,2e5a7f5703e6175018461b4d2f6af27f57442edc,2024-11-19T19:30:00.000Z,Entertainment,0.9980469,Manipulative,False
128951,"بورنموث فالنسيا فيورنتينا

ڪۆد خضم مباشر

▬براندز▬فور▬ليس▬لس▬براندس▬ ← BF51",ar,x.com,6f10ec62c4dc21e882ed5582a682497bc0e32d74,2024-11-19T19:30:00.000Z,Entertainment,0.9980469,Manipulative,False
134755,"برايتون وهوف ألبيون فيرونا برايتون وهوف ألبيون أوتريخت جنوى

ڪۆد خضم مباشر

▬ألشمس▬وألرمأل▬و▬ألرمأل▬ ← ZZY25",ar,x.com,be103717b59dcb1a71d5b429b2f91acdad7eadde,2024-11-19T19:31:33.000Z,Sports,0.9980469,Manipulative,False
126080,"أياكس جيل فيسنتي بورتو

ڪۆد خضم مباشر

▬مٕستر▬مٕندوٕب▬ ← DSK",ar,x.com,dc0f4eb0cd1813a69b9b18bbaa059979c7adeac0,2024-11-19T19:29:15.000Z,Entertainment,0.9980469,Manipulative,False
130268,"الاتحاد أوساسونا فيتوريا غيمارايش

ڪۆد خضم مباشر

▬امريكان▬ايجل▬ايفل▬ ← MT3R",ar,x.com,8ff8406f757c8e6b31f3491f8d8c6cbe2e9d0f0b,2024-11-19T19:30:18.000Z,Technology,0.9980469,Manipulative,False
125607,"التعاون شالكه جيرونا

ڪۆد خضم مباشر

▬براندز▬فور▬ليس▬لس▬براندس▬ ← BF51",ar,x.com,3a55c036636a3cb423c6bdbc7a586a320b3426a3,2024-11-19T19:29:08.000Z,Entertainment,0.9980469,Manipulative,False
